attribution_id,order_id,campaign_id,touchpoint_channel,touchpoint_type,attributed_revenue,attribution_weight,confidence_score
ATTR-00001,ORD-00001,CMP-2025-04,Google Shopping,Last Click,144.83,1.0,0.95
ATTR-00002,ORD-00002,CMP-2025-05,Google Remarketing,Last Click,79.07,1.0,0.95
ATTR-00003,ORD-00003,CMP-2025-03,Instagram,Last Click,484.06,1.0,0.95
ATTR-00004,ORD-00004,CMP-2025-01,Meta Ads,Last Click,654.05,1.0,0.95
ATTR-00005,ORD-00005,CMP-2025-04,Meta Ads,Last Click,492.97,1.0,0.95
ATTR-00006,ORD-00006,CMP-ORGANIC,Direct Traffic,Direct,43.32,0.8,0.85
ATTR-00007,ORD-00007,CMP-2025-05,SMS,Last Click,547.56,1.0,0.95
ATTR-00008,ORD-00008,CMP-2025-05,Meta Retargeting,Last Click,144.83,1.0,0.95
ATTR-00009,ORD-00009,CMP-2025-02,TikTok,Last Click,134.14,1.0,0.95
ATTR-00010,ORD-00010,CMP-2025-03,Pinterest,Last Click,69.35,1.0,0.95
ATTR-00011,ORD-00011,CMP-ORGANIC,Email Newsletter,Direct,97.32,0.8,0.85
ATTR-00012,ORD-00012,CMP-2025-02,Instagram Reels,Last Click,108.12,1.0,0.95
ATTR-00013,ORD-00013,CMP-2025-03,Email Marketing,Last Click,116.64,1.0,0.95
ATTR-00014,ORD-00014,CMP-2025-02,Influencer,Last Click,80.26,1.0,0.95
ATTR-00015,ORD-00015,CMP-2025-01,LinkedIn,Last Click,517.54,1.0,0.95
ATTR-00016,ORD-00016,CMP-2025-02,Influencer,Last Click,265.25,1.0,0.95
ATTR-00017,ORD-00017,CMP-ORGANIC,Social Organic,Direct,49.8,0.8,0.85
ATTR-00018,ORD-00018,CMP-2025-02,Influencer,Last Click,278.96,1.0,0.95
ATTR-00019,ORD-00019,CMP-ORGANIC,Organic Search,Direct,43.32,0.8,0.85
ATTR-00020,ORD-00020,CMP-2025-03,Instagram,Last Click,577.15,1.0,0.95
ATTR-00021,ORD-00021,CMP-2025-03,Instagram,Last Click,173.02,1.0,0.95
ATTR-00022,ORD-00022,CMP-ORGANIC,Social Organic,Direct,64.92,0.8,0.85
ATTR-00023,ORD-00023,CMP-2025-01,LinkedIn,Last Click,301.54,1.0,0.95
ATTR-00024,ORD-00024,CMP-2025-03,Pinterest,Last Click,66.16,1.0,0.95
ATTR-00025,ORD-00025,CMP-ORGANIC,Organic Search,Direct,97.32,0.8,0.85
ATTR-00026,ORD-00026,CMP-2025-03,Pinterest,Last Click,128.74,1.0,0.95
ATTR-00027,ORD-00027,CMP-2025-04,Google Shopping,Last Click,631.58,1.0,0.95
ATTR-00028,ORD-00028,CMP-ORGANIC,Email Newsletter,Direct,108.12,0.8,0.85
ATTR-00029,ORD-00029,CMP-2025-03,Email Marketing,Last Click,74.64,1.0,0.95
ATTR-00030,ORD-00030,CMP-2025-01,Meta Ads,Last Click,353.16,1.0,0.95
ATTR-00031,ORD-00031,CMP-2025-05,SMS,Last Click,517.54,1.0,0.95
ATTR-00032,ORD-00032,CMP-ORGANIC,Social Organic,Direct,49.8,0.8,0.85
ATTR-00033,ORD-00033,CMP-2025-02,Instagram Reels,Last Click,66.16,1.0,0.95
ATTR-00034,ORD-00034,CMP-2025-04,Google Shopping,Last Click,582.23,1.0,0.95
ATTR-00035,ORD-00035,CMP-2025-05,Meta Retargeting,Last Click,144.83,1.0,0.95
ATTR-00036,ORD-00036,CMP-2025-02,Instagram Reels,Last Click,84.52,1.0,0.95
ATTR-00037,ORD-00037,CMP-2025-02,TikTok,Last Click,160.92,1.0,0.95
ATTR-00038,ORD-00038,CMP-ORGANIC,Email Newsletter,Direct,138.24,0.8,0.85
ATTR-00039,ORD-00039,CMP-2025-01,Meta Ads,Last Click,160.92,1.0,0.95
ATTR-00040,ORD-00040,CMP-2025-01,Google Search,Last Click,86.52,1.0,0.95
ATTR-00041,ORD-00041,CMP-2025-04,Google Shopping,Last Click,104.98,1.0,0.95
ATTR-00042,ORD-00042,CMP-ORGANIC,Direct Traffic,Direct,75.72,0.8,0.85
ATTR-00043,ORD-00043,CMP-2025-05,Google Remarketing,Last Click,103.37,1.0,0.95
ATTR-00044,ORD-00044,CMP-2025-01,Google Search,Last Click,75.34,1.0,0.95
ATTR-00045,ORD-00045,CMP-2025-01,LinkedIn,Last Click,1099.76,1.0,0.95
ATTR-00046,ORD-00046,CMP-2025-05,SMS,Last Click,250.56,1.0,0.95
ATTR-00047,ORD-00047,CMP-2025-05,SMS,Last Click,412.99,1.0,0.95
ATTR-00048,ORD-00048,CMP-2025-05,Meta Retargeting,Last Click,110.81,1.0,0.95
ATTR-00049,ORD-00049,CMP-2025-04,YouTube Video Ads,Last Click,38.62,1.0,0.95
ATTR-00050,ORD-00050,CMP-2025-01,Meta Ads,Last Click,49.8,1.0,0.95
