acquisition_id,customer_id,campaign_id,channel,acquisition_date,cpa
ACQ-0001,CUST-1076,CMP-2025-04,Google Shopping,2025-10-19,25.99
ACQ-0002,CUST-0882,CMP-2025-05,Google Remarketing,2025-12-10,25.19
ACQ-0003,CUST-0347,CMP-2025-03,Instagram,2025-06-22,40.23
ACQ-0004,CUST-0057,CMP-2025-01,Meta Ads,2025-02-13,18.66
ACQ-0005,CUST-0912,CMP-2025-04,Meta Ads,2025-10-19,35.33
ACQ-0006,CUST-0239,CMP-2025-01,Direct Traffic,2025-02-10,35.59
ACQ-0007,CUST-0929,CMP-2025-05,SMS,2025-11-24,25.9
ACQ-0008,CUST-0017,CMP-2025-05,Meta Retargeting,2025-12-14,34.32
ACQ-0009,CUST-1018,CMP-2025-02,TikTok,2025-04-10,40.84
ACQ-0010,CUST-0365,CMP-2025-03,Pinterest,2025-06-23,32.22
ACQ-0011,CUST-0615,CMP-2025-01,Email Newsletter,2025-05-30,30.02
ACQ-0012,CUST-0986,CMP-2025-02,Instagram Reels,2025-03-08,28.36
ACQ-0013,CUST-0361,CMP-2025-03,Email Marketing,2025-06-26,34.88
ACQ-0014,CUST-0596,CMP-2025-02,Influencer,2025-03-27,36.64
ACQ-0015,CUST-0871,CMP-2025-01,LinkedIn,2025-01-27,23.65
ACQ-0016,CUST-0454,CMP-2025-02,Influencer,2025-04-04,21.09
ACQ-0017,CUST-0185,CMP-2025-01,Social Organic,2025-06-20,36.52
ACQ-0018,CUST-0432,CMP-2025-02,Influencer,2025-03-11,27.79
ACQ-0019,CUST-1133,CMP-2025-01,Organic Search,2025-01-07,36.25
ACQ-0020,CUST-0994,CMP-2025-03,Instagram,2025-06-03,33.34
ACQ-0021,CUST-0821,CMP-2025-03,Instagram,2025-05-20,30.36
ACQ-0022,CUST-0196,CMP-2025-01,Social Organic,2025-07-20,36.94
ACQ-0023,CUST-0562,CMP-2025-01,LinkedIn,2025-01-26,29.58
ACQ-0024,CUST-1149,CMP-2025-03,Pinterest,2025-06-28,24.25
ACQ-0025,CUST-1120,CMP-2025-01,Organic Search,2025-08-20,27.84
ACQ-0026,CUST-0224,CMP-2025-03,Pinterest,2025-05-24,41.43
ACQ-0027,CUST-0512,CMP-2025-04,Google Shopping,2025-11-09,30.8
ACQ-0028,CUST-0692,CMP-2025-01,Email Newsletter,2025-01-19,38.98
ACQ-0029,CUST-1001,CMP-2025-03,Email Marketing,2025-06-25,29.34
ACQ-0030,CUST-0216,CMP-2025-01,Meta Ads,2025-02-03,22.31
ACQ-0031,CUST-0869,CMP-2025-05,SMS,2025-12-21,39.04
