date,total_revenue,total_orders,new_customers,returning_customers,total_marketing_spend,total_impressions,total_website_visits,total_product_views,total_add_to_carts,overall_roas,aov
2025-01-01,408.36,2,0,2,0.0,0,470,327,81,0.0,204.18
2025-01-02,0,0,0,0,0.0,0,439,303,65,0.0,0.0
2025-01-03,1517.4,2,1,1,0.0,0,553,358,69,0.0,758.7
2025-01-04,335.16,4,0,4,0.0,0,314,212,35,0.0,83.79
2025-01-05,567.24,4,2,2,0.0,0,364,249,52,0.0,141.81
2025-01-06,376.92,1,0,1,0.0,0,387,218,50,0.0,376.92
2025-01-07,1181.88,4,3,1,0.0,0,547,321,58,0.0,295.47
2025-01-08,183.84,2,1,1,0.0,0,593,387,86,0.0,91.92
2025-01-09,376.92,1,1,0,0.0,0,654,366,60,0.0,376.92
2025-01-10,5288.66,20,6,14,952.15,67547,2942,1729,419,5.55,264.43
2025-01-11,3857.73,9,2,7,1074.99,83784,2996,1737,318,3.59,428.64
2025-01-12,3150.91,12,9,3,829.04,59894,2417,1520,403,3.8,262.58
2025-01-13,3300.57,16,4,12,912.41,77325,3126,1849,505,3.62,206.29
2025-01-14,5441.48,15,7,8,861.24,80593,3080,1846,500,6.32,362.77
2025-01-15,3312.91,13,4,9,858.78,81074,3280,1906,358,3.86,254.84
2025-01-16,1800.84,9,4,5,949.73,88405,3270,2092,423,1.9,200.09
2025-01-17,2208.59,10,4,6,835.14,57947,2638,1452,243,2.64,220.86
2025-01-18,4883.87,21,8,13,849.97,77017,2965,1799,283,5.75,232.57
2025-01-19,1705.48,10,5,5,861.14,77226,2920,1978,501,1.98,170.55
2025-01-20,2679.87,14,8,6,926.76,80780,3018,1706,257,2.89,191.42
2025-01-21,3310.79,12,5,7,877.46,61674,2327,1469,257,3.77,275.9
2025-01-22,5320.73,14,5,9,1040.71,75473,2979,1903,409,5.11,380.05
2025-01-23,3161.16,12,6,6,1067.93,91250,3298,1989,520,2.96,263.43
2025-01-24,4187.11,13,6,7,1065.24,80127,3268,2058,561,3.93,322.09
2025-01-25,2279.45,8,2,6,1011.82,78796,3141,1860,353,2.25,284.93
2025-01-26,2403.66,13,4,9,909.75,83792,3278,1924,379,2.64,184.9
2025-01-27,4098.03,10,7,3,969.71,96438,3591,1984,399,4.23,409.8
2025-01-28,1854.87,12,4,8,1078.69,80958,3286,2156,458,1.72,154.57
2025-01-29,1491.0,9,2,7,856.73,66691,2659,1611,386,1.74,165.67
2025-01-30,2899.13,16,8,8,825.17,75718,2942,1802,338,3.51,181.2
2025-01-31,6094.95,24,7,17,985.43,95360,3637,2510,447,6.19,253.96
2025-02-01,2058.06,12,6,6,915.51,89552,3544,2001,351,2.25,171.5
2025-02-02,4021.01,12,2,10,929.79,75551,2957,1858,389,4.32,335.08
2025-02-03,6839.91,17,13,4,922.97,69100,2587,1524,356,7.41,402.35
2025-02-04,3095.81,19,5,14,849.67,80813,2920,1714,311,3.64,162.94
2025-02-05,3886.88,13,6,7,813.19,60686,2438,1665,283,4.78,298.99
2025-02-06,1096.35,6,0,6,1035.17,86441,3490,2379,516,1.06,182.72
2025-02-07,3084.14,19,7,12,890.7,61737,2662,1708,258,3.46,162.32
2025-02-08,1828.44,6,2,4,1078.93,73784,3150,2027,561,1.69,304.74
2025-02-09,3141.53,7,0,7,1014.39,81040,3016,1929,323,3.1,448.79
2025-02-10,3174.4,21,10,11,1013.6,76728,3112,2123,428,3.13,151.16
2025-02-11,2792.11,16,4,12,924.66,82965,3221,2087,579,3.02,174.51
2025-02-12,6763.98,24,10,14,814.72,78922,2921,1685,429,8.3,281.83
2025-02-13,7136.39,23,8,15,1079.37,99749,3919,2430,439,6.61,310.28
2025-02-14,3068.27,12,8,4,884.98,73057,2997,2037,330,3.47,255.69
2025-02-15,2737.89,11,5,6,1068.57,89778,3302,2122,484,2.56,248.9
2025-02-16,1065.12,3,1,2,0.0,0,727,478,99,0.0,355.04
2025-02-17,0,0,0,0,0.0,0,468,276,58,0.0,0.0
2025-02-18,860.88,2,0,2,0.0,0,644,438,91,0.0,430.44
2025-02-19,0,0,0,0,0.0,0,537,298,74,0.0,0.0
2025-02-20,1258.32,3,1,2,0.0,0,787,505,113,0.0,419.44
2025-02-21,656.88,3,1,2,0.0,0,513,317,50,0.0,218.96
2025-02-22,807.84,1,0,1,0.0,0,458,276,69,0.0,807.84
2025-02-23,1104.96,3,2,1,0.0,0,800,543,122,0.0,368.32
2025-02-24,321.96,2,1,1,0.0,0,784,484,110,0.0,160.98
2025-02-25,0,0,0,0,0.0,0,348,232,35,0.0,0.0
2025-02-26,590.76,2,0,2,0.0,0,402,267,48,0.0,295.38
2025-02-27,369.36,1,1,0,0.0,0,475,294,78,0.0,369.36
2025-02-28,473.04,1,0,1,0.0,0,505,318,82,0.0,473.04
2025-03-01,3791.53,13,7,6,961.83,79627,3145,1775,278,3.94,291.66
