metric_id,campaign_id,date,impressions,reach,frequency,clicks,ctr,conversions,conversion_rate,attributed_revenue
MET-00001,CMP-2025-01,2025-01-10,67547,54084,1.25,1675,2.48,44,2.68,2984.83
MET-00002,CMP-2025-01,2025-01-11,83784,63710,1.32,2362,2.82,62,2.66,3542.84
MET-00003,CMP-2025-01,2025-01-12,59894,50708,1.18,2114,3.53,57,2.73,2795.73
MET-00004,CMP-2025-01,2025-01-13,77325,67702,1.14,2072,2.68,53,2.6,3062.04
MET-00005,CMP-2025-01,2025-01-14,80593,65915,1.22,2933,3.64,78,2.67,2732.4
MET-00006,CMP-2025-01,2025-01-15,81074,69633,1.16,2091,2.58,51,2.47,2778.81
MET-00007,CMP-2025-01,2025-01-16,88405,65816,1.34,2899,3.28,75,2.59,3146.6
MET-00008,CMP-2025-01,2025-01-17,57947,48397,1.2,1692,2.92,49,2.93,2716.45
MET-00009,CMP-2025-01,2025-01-18,77017,66317,1.16,2333,3.03,59,2.53,2821.09
MET-00010,CMP-2025-01,2025-01-19,77226,54630,1.41,2409,3.12,64,2.67,2777.72
MET-00011,CMP-2025-01,2025-01-20,80780,63841,1.27,2560,3.17,59,2.31,2991.63
MET-00012,CMP-2025-01,2025-01-21,61674,45288,1.36,2004,3.25,47,2.39,2774.09
MET-00013,CMP-2025-01,2025-01-22,75473,52992,1.42,2505,3.32,89,3.58,3455.42
MET-00014,CMP-2025-01,2025-01-23,91250,65285,1.4,3266,3.58,91,2.8,3597.63
MET-00015,CMP-2025-01,2025-01-24,80127,61204,1.31,2179,2.72,61,2.8,3433.52
MET-00016,CMP-2025-01,2025-01-25,78796,66491,1.19,2899,3.68,86,3.0,3374.86
MET-00017,CMP-2025-01,2025-01-26,83792,68833,1.22,2220,2.65,74,3.36,2921.61
MET-00018,CMP-2025-01,2025-01-27,96438,73178,1.32,3539,3.67,97,2.75,3002.43
MET-00019,CMP-2025-01,2025-01-28,80958,58984,1.37,2598,3.21,68,2.63,3375.71
MET-00020,CMP-2025-01,2025-01-29,66691,52577,1.27,2034,3.05,45,2.25,2844.73
MET-00021,CMP-2025-01,2025-01-30,75718,61421,1.23,2271,3.0,62,2.74,2721.02
MET-00022,CMP-2025-01,2025-01-31,95360,79222,1.2,3490,3.66,121,3.47,3266.22
MET-00023,CMP-2025-01,2025-02-01,89552,63117,1.42,2946,3.29,92,3.15,3053.31
MET-00024,CMP-2025-01,2025-02-02,75551,54008,1.4,2508,3.32,80,3.2,2974.58
MET-00025,CMP-2025-01,2025-02-03,69100,48509,1.42,1920,2.78,54,2.82,2990.89
MET-00026,CMP-2025-01,2025-02-04,80813,66611,1.21,2440,3.02,74,3.04,2820.63
MET-00027,CMP-2025-01,2025-02-05,60686,43170,1.41,2269,3.74,53,2.34,2610.47
MET-00028,CMP-2025-01,2025-02-06,86441,67166,1.29,2359,2.73,55,2.35,3419.53
MET-00029,CMP-2025-01,2025-02-07,61737,47784,1.29,2142,3.47,62,2.9,2754.38
MET-00030,CMP-2025-01,2025-02-08,73784,61893,1.19,1911,2.59,46,2.45,3581.06
MET-00031,CMP-2025-01,2025-02-09,81040,67006,1.21,1961,2.42,43,2.23,3358.61
MET-00032,CMP-2025-01,2025-02-10,76728,56997,1.35,2624,3.42,93,3.58,3170.37
MET-00033,CMP-2025-01,2025-02-11,82965,69020,1.2,2389,2.88,59,2.49,3118.55
MET-00034,CMP-2025-01,2025-02-12,78922,62229,1.27,2951,3.74,66,2.27,2758.42
MET-00035,CMP-2025-01,2025-02-13,99749,73371,1.36,2982,2.99,90,3.05,3661.69
MET-00036,CMP-2025-01,2025-02-14,73057,59153,1.24,2199,3.01,53,2.42,2898.18
MET-00037,CMP-2025-01,2025-02-15,89778,67787,1.32,2513,2.8,75,2.99,3466.61
MET-00038,CMP-2025-02,2025-03-01,79627,61395,1.3,3495,4.39,35,1.03,1721.34
MET-00039,CMP-2025-02,2025-03-02,65790,54953,1.2,2473,3.76,30,1.23,1740.03
MET-00040,CMP-2025-02,2025-03-03,99253,81369,1.22,3414,3.44,39,1.16,1807.8
MET-00041,CMP-2025-02,2025-03-04,81026,70925,1.14,2698,3.33,36,1.35,1924.95
MET-00042,CMP-2025-02,2025-03-05,73624,63058,1.17,2481,3.37,28,1.14,1893.78
MET-00043,CMP-2025-02,2025-03-06,75979,58899,1.29,2940,3.87,28,0.97,1978.07
MET-00044,CMP-2025-02,2025-03-07,68900,58265,1.18,2418,3.51,33,1.39,1668.39
MET-00045,CMP-2025-02,2025-03-08,96227,75762,1.27,4253,4.42,34,0.81,1945.34
MET-00046,CMP-2025-02,2025-03-09,79396,62521,1.27,3501,4.41,40,1.16,1711.62
MET-00047,CMP-2025-02,2025-03-10,65564,45931,1.43,3009,4.59,31,1.04,1704.77
MET-00048,CMP-2025-02,2025-03-11,74201,58817,1.26,3160,4.26,25,0.8,2020.18
MET-00049,CMP-2025-02,2025-03-12,73558,62002,1.19,2765,3.76,37,1.36,1914.61
MET-00050,CMP-2025-02,2025-03-13,78676,65222,1.21,2556,3.25,28,1.1,1989.08
MET-00051,CMP-2025-02,2025-03-14,78100,67943,1.15,3373,4.32,29,0.86,1593.82
MET-00052,CMP-2025-02,2025-03-15,83329,72170,1.15,3508,4.21,38,1.1,1926.09
MET-00053,CMP-2025-02,2025-03-16,79366,66771,1.19,3769,4.75,39,1.06,1884.71
MET-00054,CMP-2025-02,2025-03-17,76944,59126,1.3,3370,4.38,33,0.99,1580.8
MET-00055,CMP-2025-02,2025-03-18,94326,66184,1.43,4301,4.56,42,0.99,1752.14
MET-00056,CMP-2025-02,2025-03-19,91299,72165,1.27,3925,4.3,37,0.96,1888.48
MET-00057,CMP-2025-02,2025-03-20,75018,65130,1.15,2670,3.56,33,1.24,1958.67
MET-00058,CMP-2025-02,2025-03-21,90008,70675,1.27,3384,3.76,34,1.03,2038.93
MET-00059,CMP-2025-02,2025-03-22,82091,71273,1.15,3029,3.69,36,1.19,1569.29
MET-00060,CMP-2025-02,2025-03-23,94177,79239,1.19,4303,4.57,44,1.03,1790.94
MET-00061,CMP-2025-02,2025-03-24,91007,66138,1.38,3967,4.36,37,0.95,2051.78
MET-00062,CMP-2025-02,2025-03-25,69551,58928,1.18,2649,3.81,31,1.18,1543.19
MET-00063,CMP-2025-02,2025-03-26,70642,50651,1.39,2931,4.15,30,1.03,1647.09
MET-00064,CMP-2025-02,2025-03-27,92947,78739,1.18,4136,4.45,46,1.12,2065.77
MET-00065,CMP-2025-02,2025-03-28,62395,43736,1.43,2445,3.92,24,0.99,1581.92
MET-00066,CMP-2025-02,2025-03-29,76776,67246,1.14,3262,4.25,30,0.95,1528.62
MET-00067,CMP-2025-02,2025-03-30,64130,50784,1.26,2757,4.3,33,1.2,1588.74
MET-00068,CMP-2025-02,2025-03-31,68973,55107,1.25,2496,3.62,29,1.19,1449.76
MET-00069,CMP-2025-02,2025-04-01,65746,54477,1.21,2695,4.1,32,1.19,1575.87
MET-00070,CMP-2025-02,2025-04-02,72333,55929,1.29,2698,3.73,22,0.85,1707.33
MET-00071,CMP-2025-02,2025-04-03,102298,81302,1.26,4705,4.6,54,1.15,2031.78
MET-00072,CMP-2025-02,2025-04-04,96890,81881,1.18,4146,4.28,52,1.27,1844.94
MET-00073,CMP-2025-02,2025-04-05,86654,74983,1.16,3656,4.22,37,1.02,1856.25
MET-00074,CMP-2025-02,2025-04-06,77097,66788,1.15,2752,3.57,32,1.18,1941.23
MET-00075,CMP-2025-02,2025-04-07,74152,64313,1.15,3329,4.49,26,0.81,1512.5
MET-00076,CMP-2025-02,2025-04-08,100221,85152,1.18,3217,3.21,33,1.05,2032.86
MET-00077,CMP-2025-02,2025-04-09,90139,78189,1.15,3984,4.42,53,1.34,1751.22
MET-00078,CMP-2025-02,2025-04-10,61659,52603,1.17,2817,4.57,27,0.97,1567.77
MET-00079,CMP-2025-02,2025-04-11,65577,56438,1.16,2990,4.56,24,0.83,1710.53
MET-00080,CMP-2025-02,2025-04-12,65160,56150,1.16,2515,3.86,33,1.35,1493.72
MET-00081,CMP-2025-02,2025-04-13,62063,48352,1.28,2122,3.42,26,1.25,1540.63
MET-00082,CMP-2025-02,2025-04-14,55893,48780,1.15,2666,4.77,23,0.87,1557.15
MET-00083,CMP-2025-02,2025-04-15,90476,78929,1.15,4044,4.47,35,0.88,1754.1
MET-00084,CMP-2025-03,2025-05-15,47913,37238,1.29,1561,3.26,50,3.22,1969.85
MET-00085,CMP-2025-03,2025-05-16,34736,28136,1.23,923,2.66,31,3.4,1925.0
MET-00086,CMP-2025-03,2025-05-17,45678,36290,1.26,1543,3.38,55,3.57,2176.88
MET-00087,CMP-2025-03,2025-05-18,33140,24282,1.36,795,2.4,24,3.12,1976.11
MET-00088,CMP-2025-03,2025-05-19,36929,30971,1.19,952,2.58,25,2.7,2011.76
MET-00089,CMP-2025-03,2025-05-20,43975,31107,1.41,1653,3.76,56,3.44,2431.83
MET-00090,CMP-2025-03,2025-05-21,53233,38487,1.38,1591,2.99,50,3.2,2305.91
MET-00091,CMP-2025-03,2025-05-22,46350,40391,1.15,1626,3.51,39,2.43,2490.25
MET-00092,CMP-2025-03,2025-05-23,38825,27701,1.4,1168,3.01,33,2.91,2119.62
MET-00093,CMP-2025-03,2025-05-24,42592,35338,1.21,1175,2.76,39,3.39,2188.57
MET-00094,CMP-2025-03,2025-05-25,34205,24260,1.41,1289,3.77,46,3.59,1992.22
MET-00095,CMP-2025-03,2025-05-26,32974,24832,1.33,1246,3.78,38,3.08,1907.02
MET-00096,CMP-2025-03,2025-05-27,32801,27023,1.21,1220,3.72,31,2.56,1826.31
MET-00097,CMP-2025-03,2025-05-28,39799,30967,1.29,1038,2.61,29,2.87,2277.91
MET-00098,CMP-2025-03,2025-05-29,37108,30566,1.21,987,2.66,23,2.4,2160.69
MET-00099,CMP-2025-03,2025-05-30,48515,34078,1.42,1727,3.56,60,3.51,2114.61
MET-00100,CMP-2025-03,2025-05-31,32646,23351,1.4,845,2.59,27,3.26,1984.64
MET-00101,CMP-2025-03,2025-06-01,45980,33034,1.39,1673,3.64,46,2.78,2504.41
MET-00102,CMP-2025-03,2025-06-02,30678,24190,1.27,1162,3.79,29,2.51,1796.18
MET-00103,CMP-2025-03,2025-06-03,50973,37345,1.36,1529,3.0,52,3.45,2415.7
MET-00104,CMP-2025-03,2025-06-04,39642,33898,1.17,1494,3.77,49,3.29,2322.71
MET-00105,CMP-2025-03,2025-06-05,40284,29123,1.38,1397,3.47,37,2.69,1873.44
MET-00106,CMP-2025-03,2025-06-06,41161,32462,1.27,1296,3.15,32,2.52,2164.3
MET-00107,CMP-2025-03,2025-06-07,38775,30450,1.27,1004,2.59,23,2.35,1941.65
MET-00108,CMP-2025-03,2025-06-08,53194,39386,1.35,1835,3.45,43,2.36,2406.23
MET-00109,CMP-2025-03,2025-06-09,51353,37304,1.38,1335,2.6,33,2.54,2217.62
MET-00110,CMP-2025-03,2025-06-10,36567,29841,1.23,884,2.42,20,2.36,1915.83
MET-00111,CMP-2025-03,2025-06-11,40239,32310,1.25,1138,2.83,28,2.52,1912.27
MET-00112,CMP-2025-03,2025-06-12,39727,32135,1.24,997,2.51,31,3.17,2397.3
MET-00113,CMP-2025-03,2025-06-13,37416,28450,1.32,1025,2.74,24,2.43,2190.35
MET-00114,CMP-2025-03,2025-06-14,45148,39620,1.14,1390,3.08,31,2.27,1860.5
MET-00115,CMP-2025-03,2025-06-15,34361,26101,1.32,1257,3.66,36,2.91,1870.55
MET-00116,CMP-2025-03,2025-06-16,39890,34764,1.15,1085,2.72,27,2.5,2233.33
MET-00117,CMP-2025-03,2025-06-17,51792,38965,1.33,1693,3.27,59,3.52,2208.12
MET-00118,CMP-2025-03,2025-06-18,44783,37525,1.19,1267,2.83,43,3.41,1912.22
MET-00119,CMP-2025-03,2025-06-19,42063,32932,1.28,1589,3.78,56,3.57,2459.4
MET-00120,CMP-2025-03,2025-06-20,42134,32837,1.28,1314,3.12,40,3.07,2330.02
MET-00121,CMP-2025-03,2025-06-21,36606,29319,1.25,959,2.62,22,2.35,1965.28
MET-00122,CMP-2025-03,2025-06-22,47783,34998,1.37,1218,2.55,43,3.54,2105.87
MET-00123,CMP-2025-03,2025-06-23,39858,34705,1.15,1036,2.6,25,2.5,2090.89
MET-00124,CMP-2025-03,2025-06-24,38723,30053,1.29,1064,2.75,26,2.45,2324.7
MET-00125,CMP-2025-03,2025-06-25,32273,25080,1.29,1210,3.75,31,2.62,1894.84
MET-00126,CMP-2025-03,2025-06-26,37180,32007,1.16,996,2.68,31,3.21,2063.04
MET-00127,CMP-2025-03,2025-06-27,42867,32448,1.32,1504,3.51,47,3.14,2144.26
MET-00128,CMP-2025-03,2025-06-28,44445,36683,1.21,1546,3.48,46,3.04,2062.41
MET-00129,CMP-2025-03,2025-06-29,45071,35599,1.27,1712,3.8,47,2.78,1929.48
MET-00130,CMP-2025-03,2025-06-30,41062,30850,1.33,1363,3.32,42,3.15,2143.62
MET-00131,CMP-2025-04,2025-10-01,127275,106273,1.2,4161,3.27,123,2.96,7156.73
MET-00132,CMP-2025-04,2025-10-02,90729,69236,1.31,3184,3.51,90,2.85,7016.14
MET-00133,CMP-2025-04,2025-10-03,99527,85959,1.16,3324,3.34,73,2.21,7678.71
MET-00134,CMP-2025-04,2025-10-04,118920,95139,1.25,3508,2.95,107,3.06,7217.4
MET-00135,CMP-2025-04,2025-10-05,111679,92448,1.21,2881,2.58,68,2.37,6235.1
MET-00136,CMP-2025-04,2025-10-06,95064,69163,1.37,3108,3.27,91,2.96,6824.79
MET-00137,CMP-2025-04,2025-10-07,133952,114030,1.17,4581,3.42,152,3.33,7754.64
MET-00138,CMP-2025-04,2025-10-08,116823,84758,1.38,3235,2.77,79,2.45,6341.43
MET-00139,CMP-2025-04,2025-10-09,92878,79888,1.16,3055,3.29,86,2.83,6091.59
MET-00140,CMP-2025-04,2025-10-10,88931,62331,1.43,2783,3.13,71,2.56,5936.12
MET-00141,CMP-2025-04,2025-10-11,109516,90294,1.21,2825,2.58,72,2.58,6041.53
MET-00142,CMP-2025-04,2025-10-12,106542,90804,1.17,3622,3.4,128,3.55,5884.85
MET-00143,CMP-2025-04,2025-10-13,97780,70339,1.39,2874,2.94,71,2.48,6114.41
MET-00144,CMP-2025-04,2025-10-14,83390,66335,1.26,2468,2.96,58,2.36,6702.57
MET-00145,CMP-2025-04,2025-10-15,103523,76449,1.35,3302,3.19,87,2.65,7316.84
MET-00146,CMP-2025-04,2025-10-16,91978,75084,1.23,3081,3.35,86,2.81,5933.72
MET-00147,CMP-2025-04,2025-10-17,125910,88619,1.42,3047,2.42,100,3.3,7154.98
MET-00148,CMP-2025-04,2025-10-18,106580,90526,1.18,3176,2.98,83,2.62,6555.28
MET-00149,CMP-2025-04,2025-10-19,83586,71194,1.17,3101,3.71,72,2.34,6275.54
MET-00150,CMP-2025-04,2025-10-20,83830,66792,1.26,2020,2.41,63,3.16,6386.61
MET-00151,CMP-2025-04,2025-10-21,76186,61331,1.24,1957,2.57,51,2.65,6062.09
MET-00152,CMP-2025-04,2025-10-22,100945,84700,1.19,3109,3.08,72,2.33,6082.27
MET-00153,CMP-2025-04,2025-10-23,125626,103099,1.22,3844,3.06,105,2.74,7436.14
MET-00154,CMP-2025-04,2025-10-24,121785,88100,1.38,4481,3.68,122,2.74,6611.46
MET-00155,CMP-2025-04,2025-10-25,103097,74156,1.39,2628,2.55,58,2.22,6727.5
MET-00156,CMP-2025-04,2025-10-26,104641,79534,1.32,3160,3.02,85,2.72,6509.0
MET-00157,CMP-2025-04,2025-10-27,108580,80871,1.34,2779,2.56,65,2.36,5763.0
MET-00158,CMP-2025-04,2025-10-28,101943,84052,1.21,3150,3.09,76,2.44,7599.64
MET-00159,CMP-2025-04,2025-10-29,87242,63742,1.37,2922,3.35,71,2.43,6228.07
MET-00160,CMP-2025-04,2025-10-30,121623,92845,1.31,3721,3.06,81,2.2,6375.41
MET-00161,CMP-2025-04,2025-10-31,136290,115124,1.18,3911,2.87,113,2.89,7478.14
MET-00162,CMP-2025-04,2025-11-01,85814,73101,1.17,2643,3.08,68,2.58,6471.22
MET-00163,CMP-2025-04,2025-11-02,106504,78507,1.36,2683,2.52,93,3.49,6877.54
MET-00164,CMP-2025-04,2025-11-03,105564,80188,1.32,3399,3.22,119,3.52,6241.68
MET-00165,CMP-2025-04,2025-11-04,113787,79821,1.43,4210,3.7,101,2.41,6096.32
MET-00166,CMP-2025-04,2025-11-05,96041,69362,1.38,2958,3.08,65,2.21,7126.16
MET-00167,CMP-2025-04,2025-11-06,90661,65790,1.38,3109,3.43,87,2.8,6660.08
MET-00168,CMP-2025-04,2025-11-07,99201,80101,1.24,2618,2.64,73,2.81,7431.05
MET-00169,CMP-2025-04,2025-11-08,116376,85304,1.36,4073,3.5,137,3.37,7732.61
MET-00170,CMP-2025-04,2025-11-09,77662,54732,1.42,2694,3.47,62,2.32,5942.15
MET-00171,CMP-2025-04,2025-11-10,108017,88640,1.22,3294,3.05,107,3.27,6261.3
MET-00172,CMP-2025-04,2025-11-11,90346,65217,1.39,2909,3.22,84,2.92,7010.06
MET-00173,CMP-2025-04,2025-11-12,100820,87569,1.15,3558,3.53,109,3.07,7327.35
MET-00174,CMP-2025-04,2025-11-13,80067,60369,1.33,2466,3.08,60,2.46,5872.45
MET-00175,CMP-2025-04,2025-11-14,86323,64165,1.35,2693,3.12,85,3.18,6423.23
MET-00176,CMP-2025-04,2025-11-15,83260,60502,1.38,2331,2.8,55,2.37,6125.45
MET-00177,CMP-2025-05,2025-11-20,64236,45070,1.43,1458,2.27,67,4.65,4656.23
MET-00178,CMP-2025-05,2025-11-21,63324,45923,1.38,1874,2.96,92,4.92,5141.79
MET-00179,CMP-2025-05,2025-11-22,81481,67270,1.21,2240,2.75,107,4.79,5151.95
MET-00180,CMP-2025-05,2025-11-23,75048,62958,1.19,2333,3.11,120,5.15,5060.2
MET-00181,CMP-2025-05,2025-11-24,58979,45259,1.3,1645,2.79,63,3.85,4372.36
MET-00182,CMP-2025-05,2025-11-25,53739,41816,1.29,1440,2.68,74,5.14,4141.24
MET-00183,CMP-2025-05,2025-11-26,61113,50285,1.22,1925,3.15,97,5.04,3985.1
MET-00184,CMP-2025-05,2025-11-27,62736,53784,1.17,1712,2.73,68,4.02,4668.56
MET-00185,CMP-2025-05,2025-11-28,69628,59673,1.17,1580,2.27,67,4.29,4610.57
MET-00186,CMP-2025-05,2025-11-29,55284,45199,1.22,1183,2.14,53,4.52,4702.02
MET-00187,CMP-2025-05,2025-11-30,52984,42466,1.25,1467,2.77,76,5.22,4516.98
MET-00188,CMP-2025-05,2025-12-01,84788,66930,1.27,1992,2.35,87,4.4,5137.77
MET-00189,CMP-2025-05,2025-12-02,60454,42514,1.42,1589,2.63,70,4.46,4878.99
MET-00190,CMP-2025-05,2025-12-03,53911,40048,1.35,1186,2.2,45,3.82,4429.09
MET-00191,CMP-2025-05,2025-12-04,65232,48980,1.33,1598,2.45,77,4.82,4770.42
MET-00192,CMP-2025-05,2025-12-05,64854,55876,1.16,1971,3.04,89,4.55,5602.91
MET-00193,CMP-2025-05,2025-12-06,63739,55523,1.15,1676,2.63,65,3.93,4434.94
MET-00194,CMP-2025-05,2025-12-07,75206,62989,1.19,2368,3.15,90,3.84,5551.35
MET-00195,CMP-2025-05,2025-12-08,73573,54473,1.35,1854,2.52,91,4.92,5138.73
MET-00196,CMP-2025-05,2025-12-09,59900,44264,1.35,1275,2.13,64,5.03,4901.45
MET-00197,CMP-2025-05,2025-12-10,56601,45068,1.26,1454,2.57,72,5.02,5132.79
MET-00198,CMP-2025-05,2025-12-11,58861,49375,1.19,1430,2.43,68,4.77,5039.2
MET-00199,CMP-2025-05,2025-12-12,49419,38541,1.28,1047,2.12,39,3.82,4023.29
MET-00200,CMP-2025-05,2025-12-13,57631,43018,1.34,1711,2.97,72,4.24,4055.79
MET-00201,CMP-2025-05,2025-12-14,70375,56272,1.25,1653,2.35,89,5.42,4640.2
MET-00202,CMP-2025-05,2025-12-15,88700,63326,1.4,2057,2.32,98,4.77,5743.2
MET-00203,CMP-2025-05,2025-12-16,75571,65720,1.15,1828,2.42,70,3.85,5344.26
MET-00204,CMP-2025-05,2025-12-17,57828,50263,1.15,1457,2.52,69,4.79,4492.78
