spend_id,campaign_id,date,channel,spend,cpc,cpm
SPD-00001,CMP-2025-01,2025-01-10,Meta Ads,313.51,1.32,14.35
SPD-00002,CMP-2025-01,2025-01-10,Google Search,377.09,1.98,13.52
SPD-00003,CMP-2025-01,2025-01-10,LinkedIn,261.55,1.23,9.9
SPD-00004,CMP-2025-01,2025-01-11,Meta Ads,315.51,1.14,9.16
SPD-00005,CMP-2025-01,2025-01-11,Google Search,354.85,1.64,15.21
SPD-00006,CMP-2025-01,2025-01-11,LinkedIn,404.63,2.33,15.22
SPD-00007,CMP-2025-01,2025-01-12,Meta Ads,321.73,2.46,13.31
SPD-00008,CMP-2025-01,2025-01-12,Google Search,291.69,1.64,15.22
SPD-00009,CMP-2025-01,2025-01-12,LinkedIn,215.62,1.67,10.57
SPD-00010,CMP-2025-01,2025-01-13,Meta Ads,244.13,1.44,8.6
SPD-00011,CMP-2025-01,2025-01-13,Google Search,310.79,1.59,9.88
SPD-00012,CMP-2025-01,2025-01-13,LinkedIn,357.49,2.44,14.62
SPD-00013,CMP-2025-01,2025-01-14,Meta Ads,249.68,1.24,16.72
SPD-00014,CMP-2025-01,2025-01-14,Google Search,252.17,1.27,10.21
SPD-00015,CMP-2025-01,2025-01-14,LinkedIn,359.39,2.3,9.48
SPD-00016,CMP-2025-01,2025-01-15,Meta Ads,271.33,1.11,12.11
SPD-00017,CMP-2025-01,2025-01-15,Google Search,289.34,1.92,16.25
SPD-00018,CMP-2025-01,2025-01-15,LinkedIn,298.11,2.08,12.71
SPD-00019,CMP-2025-01,2025-01-16,Meta Ads,293.52,1.95,12.67
SPD-00020,CMP-2025-01,2025-01-16,Google Search,369.89,1.86,15.9
SPD-00021,CMP-2025-01,2025-01-16,LinkedIn,286.32,1.33,16.79
SPD-00022,CMP-2025-01,2025-01-17,Meta Ads,287.74,2.11,13.24
SPD-00023,CMP-2025-01,2025-01-17,Google Search,310.08,1.91,16.17
SPD-00024,CMP-2025-01,2025-01-17,LinkedIn,237.32,1.5,10.12
SPD-00025,CMP-2025-01,2025-01-18,Meta Ads,286.21,2.52,13.19
SPD-00026,CMP-2025-01,2025-01-18,Google Search,280.35,1.95,14.14
SPD-00027,CMP-2025-01,2025-01-18,LinkedIn,283.41,1.97,16.17
SPD-00028,CMP-2025-01,2025-01-19,Meta Ads,272.93,2.32,10.02
SPD-00029,CMP-2025-01,2025-01-19,Google Search,258.86,2.15,9.32
SPD-00030,CMP-2025-01,2025-01-19,LinkedIn,329.35,1.73,11.36
SPD-00031,CMP-2025-01,2025-01-20,Meta Ads,292.55,1.29,13.33
SPD-00032,CMP-2025-01,2025-01-20,Google Search,250.19,1.28,12.78
SPD-00033,CMP-2025-01,2025-01-20,LinkedIn,384.02,2.42,9.24
SPD-00034,CMP-2025-01,2025-01-21,Meta Ads,247.86,1.78,11.99
SPD-00035,CMP-2025-01,2025-01-21,Google Search,273.04,1.25,15.05
SPD-00036,CMP-2025-01,2025-01-21,LinkedIn,356.56,2.18,15.73
SPD-00037,CMP-2025-01,2025-01-22,Meta Ads,352.89,2.19,11.03
SPD-00038,CMP-2025-01,2025-01-22,Google Search,316.63,2.59,11.86
SPD-00039,CMP-2025-01,2025-01-22,LinkedIn,371.19,2.28,17.67
SPD-00040,CMP-2025-01,2025-01-23,Meta Ads,317.19,1.18,15.52
SPD-00041,CMP-2025-01,2025-01-23,Google Search,318.06,1.79,14.19
SPD-00042,CMP-2025-01,2025-01-23,LinkedIn,432.68,2.27,13.05
SPD-00043,CMP-2025-01,2025-01-24,Meta Ads,346.37,0.85,16.77
SPD-00044,CMP-2025-01,2025-01-24,Google Search,303.8,1.35,16.98
SPD-00045,CMP-2025-01,2025-01-24,LinkedIn,415.07,1.7,15.66
SPD-00046,CMP-2025-01,2025-01-25,Meta Ads,362.98,1.86,11.41
SPD-00047,CMP-2025-01,2025-01-25,Google Search,346.39,1.05,8.81
SPD-00048,CMP-2025-01,2025-01-25,LinkedIn,302.45,2.59,17.98
SPD-00049,CMP-2025-01,2025-01-26,Meta Ads,357.68,1.5,9.12
SPD-00050,CMP-2025-01,2025-01-26,Google Search,300.19,2.53,11.69
SPD-00051,CMP-2025-01,2025-01-26,LinkedIn,251.88,1.35,14.7
SPD-00052,CMP-2025-01,2025-01-27,Meta Ads,284.32,1.49,17.34
SPD-00053,CMP-2025-01,2025-01-27,Google Search,285.21,1.74,11.32
SPD-00054,CMP-2025-01,2025-01-27,LinkedIn,400.18,1.46,12.91
SPD-00055,CMP-2025-01,2025-01-28,Meta Ads,347.83,1.5,15.71
SPD-00056,CMP-2025-01,2025-01-28,Google Search,417.61,2.37,10.5
SPD-00057,CMP-2025-01,2025-01-28,LinkedIn,313.25,2.27,11.5
SPD-00058,CMP-2025-01,2025-01-29,Meta Ads,280.89,2.58,10.46
SPD-00059,CMP-2025-01,2025-01-29,Google Search,279.38,1.89,16.5
SPD-00060,CMP-2025-01,2025-01-29,LinkedIn,296.46,1.39,10.89
SPD-00061,CMP-2025-01,2025-01-30,Meta Ads,321.14,2.32,11.86
SPD-00062,CMP-2025-01,2025-01-30,Google Search,307.22,2.28,12.29
