order_id,customer_id,order_date,subtotal,discount_amount,tax,shipping,total_revenue,order_status
ORD-00001,CUST-1076,2025-10-19 13:00:00,149.0,14.9,10.73,0.0,144.83,Completed
ORD-00002,CUST-0882,2025-12-10 09:00:00,69.0,6.9,4.97,12.0,79.07,Completed
ORD-00003,CUST-0347,2025-06-22 20:00:00,498.0,49.8,35.86,0.0,484.06,Completed
ORD-00004,CUST-0057,2025-02-13 16:00:00,757.0,151.4,48.45,0.0,654.05,Completed
ORD-00005,CUST-0912,2025-10-19 22:00:00,537.0,80.55,36.52,0.0,492.97,Completed
ORD-00006,CUST-0239,2025-02-10 19:00:00,29.0,0.0,2.32,12.0,43.32,Completed
ORD-00007,CUST-0929,2025-11-24 19:00:00,507.0,0.0,40.56,0.0,547.56,Completed
ORD-00008,CUST-0017,2025-12-14 21:00:00,149.0,14.9,10.73,0.0,144.83,Completed
ORD-00009,CUST-1018,2025-04-10 22:00:00,138.0,13.8,9.94,0.0,134.14,Completed
ORD-00010,CUST-0365,2025-06-23 14:00:00,59.0,5.9,4.25,12.0,69.35,Completed
ORD-00011,CUST-0615,2025-05-30 18:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00012,CUST-0986,2025-03-08 22:00:00,89.0,0.0,7.12,12.0,108.12,Completed
ORD-00013,CUST-0361,2025-06-26 09:00:00,108.0,0.0,8.64,0.0,116.64,Completed
ORD-00014,CUST-0596,2025-03-27 08:00:00,79.0,15.8,5.06,12.0,80.26,Completed
ORD-00015,CUST-0871,2025-01-27 15:00:00,599.0,119.8,38.34,0.0,517.54,Completed
ORD-00016,CUST-0454,2025-04-04 11:00:00,307.0,61.4,19.65,0.0,265.25,Completed
ORD-00017,CUST-0185,2025-06-20 22:00:00,35.0,0.0,2.8,12.0,49.8,Completed
ORD-00018,CUST-0432,2025-03-11 21:00:00,287.0,28.7,20.66,0.0,278.96,Completed
ORD-00019,CUST-1133,2025-01-07 08:00:00,29.0,0.0,2.32,12.0,43.32,Completed
ORD-00020,CUST-0994,2025-06-03 08:00:00,668.0,133.6,42.75,0.0,577.15,Completed
ORD-00021,CUST-0821,2025-05-20 09:00:00,178.0,17.8,12.82,0.0,173.02,Completed
ORD-00022,CUST-0196,2025-07-20 11:00:00,49.0,0.0,3.92,12.0,64.92,Completed
ORD-00023,CUST-0562,2025-01-26 18:00:00,349.0,69.8,22.34,0.0,301.54,Completed
ORD-00024,CUST-1149,2025-06-28 16:00:00,59.0,8.85,4.01,12.0,66.16,Completed
ORD-00025,CUST-1120,2025-08-20 11:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00026,CUST-0224,2025-05-24 20:00:00,149.0,29.8,9.54,0.0,128.74,Completed
ORD-00027,CUST-0512,2025-11-09 21:00:00,688.0,103.2,46.78,0.0,631.58,Completed
ORD-00028,CUST-0692,2025-01-19 13:00:00,89.0,0.0,7.12,12.0,108.12,Completed
ORD-00029,CUST-1001,2025-06-25 11:00:00,58.0,0.0,4.64,12.0,74.64,Completed
ORD-00030,CUST-0216,2025-02-03 10:00:00,327.0,0.0,26.16,0.0,353.16,Completed
ORD-00031,CUST-0869,2025-12-21 10:00:00,599.0,119.8,38.34,0.0,517.54,Completed
ORD-00032,CUST-0603,2025-12-13 12:00:00,35.0,0.0,2.8,12.0,49.8,Completed
ORD-00033,CUST-0595,2025-04-09 19:00:00,59.0,8.85,4.01,12.0,66.16,Completed
ORD-00034,CUST-0278,2025-10-01 13:00:00,599.0,59.9,43.13,0.0,582.23,Completed
ORD-00035,CUST-0409,2025-12-19 13:00:00,149.0,14.9,10.73,0.0,144.83,Completed
ORD-00036,CUST-0707,2025-03-18 12:00:00,79.0,11.85,5.37,12.0,84.52,Completed
ORD-00037,CUST-1150,2025-03-05 17:00:00,149.0,0.0,11.92,0.0,160.92,Completed
ORD-00038,CUST-0260,2025-10-28 18:00:00,128.0,0.0,10.24,0.0,138.24,Completed
ORD-00039,CUST-0970,2025-01-24 11:00:00,149.0,0.0,11.92,0.0,160.92,Completed
ORD-00040,CUST-0663,2025-01-18 16:00:00,69.0,0.0,5.52,12.0,86.52,Completed
ORD-00041,CUST-0494,2025-10-25 19:00:00,108.0,10.8,7.78,0.0,104.98,Completed
ORD-00042,CUST-0341,2025-05-23 19:00:00,59.0,0.0,4.72,12.0,75.72,Completed
ORD-00043,CUST-0514,2025-12-17 18:00:00,94.0,9.4,6.77,12.0,103.37,Completed
ORD-00044,CUST-0784,2025-01-22 15:00:00,69.0,10.35,4.69,12.0,75.34,Completed
ORD-00045,CUST-0520,2025-01-27 08:00:00,1198.0,179.7,81.46,0.0,1099.76,Completed
ORD-00046,CUST-0562,2025-11-21 21:00:00,232.0,0.0,18.56,0.0,250.56,Completed
ORD-00047,CUST-0079,2025-11-29 19:00:00,478.0,95.6,30.59,0.0,412.99,Completed
ORD-00048,CUST-0128,2025-12-07 21:00:00,114.0,11.4,8.21,0.0,110.81,Completed
ORD-00049,CUST-0751,2025-10-27 21:00:00,29.0,4.35,1.97,12.0,38.62,Completed
ORD-00050,CUST-0172,2025-01-27 17:00:00,35.0,0.0,2.8,12.0,49.8,Completed
ORD-00051,CUST-0638,2025-05-22 13:00:00,197.0,19.7,14.18,0.0,191.48,Completed
ORD-00052,CUST-0177,2025-11-21 20:00:00,79.0,7.9,5.69,12.0,88.79,Completed
ORD-00053,CUST-0631,2025-11-25 22:00:00,668.0,0.0,53.44,0.0,721.44,Completed
ORD-00054,CUST-0572,2025-06-10 11:00:00,69.0,13.8,4.42,12.0,71.62,Completed
ORD-00055,CUST-0542,2025-06-21 13:00:00,35.0,3.5,2.52,12.0,46.02,Completed
ORD-00056,CUST-0076,2025-10-27 14:00:00,49.0,0.0,3.92,12.0,64.92,Completed
ORD-00057,CUST-0592,2025-12-25 21:00:00,89.0,17.8,5.7,12.0,88.9,Completed
ORD-00058,CUST-0535,2025-02-12 18:00:00,79.0,15.8,5.06,12.0,80.26,Completed
ORD-00059,CUST-0070,2025-02-01 21:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00060,CUST-0384,2025-06-06 10:00:00,138.0,0.0,11.04,0.0,149.04,Completed
ORD-00061,CUST-0891,2025-08-31 21:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00062,CUST-0822,2025-04-02 09:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00063,CUST-0336,2025-06-22 19:00:00,277.0,27.7,19.94,0.0,269.24,Completed
ORD-00064,CUST-0709,2025-03-30 08:00:00,118.0,11.8,8.5,0.0,114.7,Completed
ORD-00065,CUST-0895,2025-03-10 18:00:00,59.0,0.0,4.72,12.0,75.72,Completed
ORD-00066,CUST-0965,2025-11-14 11:00:00,138.0,13.8,9.94,0.0,134.14,Completed
ORD-00067,CUST-0652,2025-03-10 14:00:00,178.0,0.0,14.24,0.0,192.24,Completed
ORD-00068,CUST-0711,2025-11-21 11:00:00,79.0,0.0,6.32,12.0,97.32,Completed
ORD-00069,CUST-0816,2025-11-27 11:00:00,69.0,0.0,5.52,12.0,86.52,Completed
ORD-00070,CUST-0696,2025-03-28 10:00:00,1257.0,125.7,90.5,0.0,1221.8,Completed
ORD-00071,CUST-0335,2025-11-26 15:00:00,164.0,24.6,11.15,0.0,150.55,Completed
ORD-00072,CUST-0264,2025-11-13 15:00:00,777.0,155.4,49.73,0.0,671.33,Completed
ORD-00073,CUST-1029,2025-11-15 13:00:00,298.0,59.6,19.07,0.0,257.47,Completed
ORD-00074,CUST-0164,2025-06-29 17:00:00,108.0,0.0,8.64,0.0,116.64,Completed
ORD-00075,CUST-0249,2025-08-24 13:00:00,198.0,0.0,15.84,0.0,213.84,Completed
ORD-00076,CUST-0049,2025-03-19 13:00:00,35.0,0.0,2.8,12.0,49.8,Completed
ORD-00077,CUST-0732,2025-09-30 19:00:00,349.0,0.0,27.92,0.0,376.92,Completed
ORD-00078,CUST-0297,2025-10-18 13:00:00,49.0,9.8,3.14,12.0,54.34,Completed
ORD-00079,CUST-0084,2025-05-17 10:00:00,349.0,0.0,27.92,0.0,376.92,Completed
ORD-00080,CUST-0692,2025-06-04 14:00:00,49.0,0.0,3.92,12.0,64.92,Completed
ORD-00081,CUST-0163,2025-08-10 09:00:00,222.0,0.0,17.76,0.0,239.76,Completed
ORD-00082,CUST-0767,2025-03-28 12:00:00,29.0,5.8,1.86,12.0,37.06,Completed
ORD-00083,CUST-0372,2025-05-15 14:00:00,149.0,29.8,9.54,0.0,128.74,Completed
ORD-00084,CUST-0652,2025-03-02 19:00:00,79.0,15.8,5.06,12.0,80.26,Completed
