post_id,date,impressions,reach,likes,comments,shares,saves,video_views,watch_time_sec,link_clicks
POST-001,2025-01-10,25294,18757,617,30,28,85,0,0,489
POST-002,2025-02-04,17880,11848,645,31,31,89,0,0,318
POST-003,2025-02-11,32463,25262,1711,84,88,614,0,0,1292
POST-004,2025-02-06,11618,8827,525,22,21,32,0,0,248
POST-005,2025-01-10,19107,15236,843,66,35,117,0,0,370
POST-006,2025-01-28,26768,20099,1109,62,33,91,0,0,501
POST-007,2025-01-19,21949,16994,492,16,27,48,0,0,366
POST-008,2025-02-14,20936,16346,785,48,46,93,0,0,507
POST-009,2025-04-02,43769,35307,1482,121,163,331,0,0,1326
POST-010,2025-03-11,66409,58988,2971,325,277,461,56011,896176,1199
POST-011,2025-03-20,23922,15649,580,40,21,83,0,0,348
POST-012,2025-04-01,20016,15655,641,27,53,167,0,0,726
POST-013,2025-04-08,12539,9099,424,22,16,57,0,0,186
POST-014,2025-03-26,25727,16899,1031,53,32,60,0,0,321
POST-015,2025-04-11,29099,21355,749,45,32,41,0,0,539
POST-016,2025-03-02,29569,23372,750,23,38,55,0,0,608
POST-017,2025-06-22,70664,59240,4215,486,509,535,56786,908576,1508
POST-018,2025-05-21,40040,31743,1894,196,186,459,36107,288856,1092
POST-019,2025-06-29,31531,23915,1248,80,90,343,0,0,1440
POST-020,2025-05-30,48997,40370,3434,264,322,374,42613,596582,799
POST-021,2025-05-29,16819,12330,632,22,31,72,0,0,199
POST-022,2025-06-24,14666,11255,355,20,9,26,0,0,356
POST-023,2025-06-13,55912,47411,2610,141,497,367,46833,842994,1263
POST-024,2025-06-16,14980,10848,689,30,38,234,0,0,685
POST-025,2025-11-09,18430,14423,891,55,52,107,0,0,259
POST-026,2025-10-30,18762,12239,764,47,15,74,0,0,441
POST-027,2025-11-14,24022,18361,868,60,39,50,0,0,251
POST-028,2025-10-25,64919,52455,4775,510,945,566,55542,610962,1551
POST-029,2025-11-13,64900,50539,4715,442,834,627,61461,798993,1021
POST-030,2025-10-13,37957,27201,1454,101,90,347,0,0,1650
POST-031,2025-10-09,26526,20401,2051,225,380,429,22312,468552,757
POST-032,2025-10-28,29300,19272,1411,72,84,109,0,0,591
POST-033,2025-12-23,15357,10090,730,41,23,65,0,0,230
POST-034,2025-12-17,28382,20705,1131,49,106,232,0,0,1016
POST-035,2025-12-05,23518,16127,710,23,23,91,0,0,568
POST-036,2025-12-18,34361,26211,1457,76,171,330,27823,278230,558
POST-037,2025-12-17,31346,26695,1955,138,245,223,28612,314732,1012
POST-038,2025-12-19,28323,21040,855,65,43,81,0,0,422
POST-039,2025-11-20,26853,22527,1977,224,188,348,22913,343695,791
POST-040,2025-11-28,15964,11480,758,53,72,205,0,0,632
